id,description,recipe_id,measure,parsedName,quantity,cleanDescription,,Store Section
1,1 cup cashews,2606,cup,cashews,1,1 cup cashews,,Dry Goods
2,cold water to cover,2606,,water,,cold water to cover,,Household
3,1 cup coconut milk,2606,cup,coconut milk,1,1 cup coconut milk,,Dry Goods
4,"4 tablespoons agave syrup, or to taste",2606,tablespoon,agave syrup,4,"4 tablespoons agave syrup, or to taste",,Dry Goods
5,1 tablespoon vanilla extract,2606,tablespoon,vanilla extract,1,1 tablespoon vanilla extract,,Dry Goods
6,½ teaspoon rose water,2606,teaspoon,rose water,2-Jan,1/2 teaspoon rose water,,Dry Goods
7,"2 tablespoons pomegranate seeds, or to taste",2606,tablespoon,pomegranate seeds,2,"2 tablespoons pomegranate seeds, or to taste",,Produce
8,cooking spray,2370,,cooking spray,,cooking spray,,Baking Goods
9,"½ cup vegan butter, melted",2370,cup,vegan butter,2-Jan,"1/2 cup vegan butter, melted",,Refrigerator
10,½ cup coconut sugar,2370,cup,coconut sugar,2-Jan,1/2 cup coconut sugar,,Baking Goods
11,¼ cup brown sugar,2370,cup,brown sugar,4-Jan,1/4 cup brown sugar,,Baking Goods
12,2 cups mashed bananas,2370,cup,bananas,2,2 cups mashed bananas,,Produce
13,½ cup plain applesauce,2370,cup,applesauce,2-Jan,1/2 cup plain applesauce,,Dry Goods
14,2 cups all-purpose flour,2370,cup,all-purpose flour,2,2 cups all-purpose flour,,Baking Goods
15,1 teaspoon baking soda,2370,teaspoon,baking soda,1,1 teaspoon baking soda,,Baking Goods
16,½ teaspoon baking powder,2370,teaspoon,baking powder,2-Jan,1/2 teaspoon baking powder,,Baking Goods
17,¼ teaspoon salt,2370,teaspoon,salt,4-Jan,1/4 teaspoon salt,,Dry Goods
18,½ cup chopped walnuts  (Optional),2370,,,,1/2 cup chopped walnuts  (Optional),,Dry Goods
19,1 cup quinoa,1851,cup,quinoa,1,1 cup quinoa,,Dry Goods
20,⅛ teaspoon salt,1851,teaspoon,salt,,1/8 teaspoon salt,,Dry Goods
21,1 ¾ cups water,1851,,,,1 3/4 cups water,,Household
