id,Store Section,cleanDescription
171,Dry Goods,teaspoon kosher salt
172,Dry Goods,teaspoon ground turmer
173,Dry Goods,teaspoon dri oregano
174,Dry Goods,teaspoon ground cumin
175,Produce,teaspoon red pepper flake
176,Dry Goods,teaspoon crack black pepper
177,Baking Goods,teaspoon cornstarch
178,Household,tablespoon water need
179,Dry Goods,cup uncook shortgrain white rice
180,Household,cup water
181,Oils,cup red wine vinegar
182,Baking Goods,teaspoon white sugar
183,Dry Goods,teaspoon salt
184,Produce,avocado peel pit thinli slice
185,Refrigerator,teaspoon lemon juic
186,Dry Goods,cup sesam seed need
187,Produce,cucumb peel seed cut matchstick
188,Produce,green bell pepper seed cut matchstick
189,Produce,zucchini cut matchstick
190,Baking Goods,cup confection sugar sift
191,Dry Goods,teaspoon coconut milk
192,Produce,teaspoon raspberri juic
193,Baking Goods,sugar cooki
194,Dry Goods,pound new potato
195,Household,tablespoon water
196,Produce,onion minc
197,Oils,tablespoon oliv oil
198,Dry Goods,pinch season salt tast
199,Dry Goods,pinch paprika tast
200,Oils,tablespoon oliv oil
201,Produce,larg onion chop
202,Produce,stalk celeri chop
203,Produce,clove garlic minc
204,Dry Goods,teaspoon ground cumin
205,Dry Goods,cup veget broth
206,Household,cup water
207,Dry Goods,cup lentil pick rins
208,Produce,small eggplant dice
209,Produce,medium zucchini dice
210,Produce,medium tomato chop
211,Refrigerator,lemon zest juic
212,Dry Goods,salt ground black pepper tast
213,Produce,sweet potato peel cut bites piec
214,Oils,tablespoon extra virgin oliv oil
215,Household,cup broccoli floret
216,Dry Goods,ounc lentil drain rins
217,Dry Goods,tablespoon cumin
218,Dry Goods,teaspoon cayenn pepper tast
219,Dry Goods,teaspoon garlic salt
220,Produce,tomato chop
221,Dry Goods,tablespoon barbequ sauc divid
223,Baking Goods,cook spray
224,Produce,tomato dice
225,Dry Goods,pinch garlic pepper season
226,Produce,cup fresh mushroom slice
227,Produce,yellow squash cube
228,Produce,zucchini cube
229,Dry Goods,ear fresh corn kernel
230,Produce,tomato chop
231,Produce,hot yellow banana pepper chop
232,Produce,clove garlic minc
